model,seq_len,hidden_size,layers,final_train_loss,final_val_loss,final_val_acc,time_sec,trainable_params,model_size_MB,estimated_ops,fc_size
gru,30,64,1,1.4086620125547933,1.4649791069162077,0.5562618515015264,6280.624463796616,37505,0.14307022094726562,741440,64
gru,30,128,1,1.2254368490257281,1.3679680737420463,0.5859158212782363,3436.570770263672,132289,0.5046424865722656,2957440,128
gru,30,256,1,1.169268127199243,1.363007250234989,0.5902731392862426,3460.647921562195,452673,1.7268104553222656,11813120,128
gru,30,128,2,1.1740490483440833,1.3371920430550819,0.5945139035203723,2544.970499277115,231361,0.8825721740722656,5906560,128
gru,30,128,1,1.2056871783414462,1.360274464182654,0.588852079812438,2752.709570646286,157121,0.5993690490722656,2957440,256
lstm,30,64,1,1.3600757221259747,1.4224773318652648,0.5695310503736445,7017.015269994736,45825,0.17480850219726562,987200,64
lstm,30,128,1,1.195507977628335,1.3524896126845345,0.5895917479928096,2788.185114622116,165313,0.6306190490722656,3940480,128
lstm,30,256,1,1.1226285187575495,1.3541655368115528,0.5952939172378549,1861.7158868312836,584257,2.2287635803222656,15745280,128
lstm,30,128,2,1.1389967955989286,1.3343821860084708,0.597737063651809,2086.577116727829,297409,1.1345252990722656,7872640,128
lstm,30,128,1,1.1523191690496244,1.3597365534141428,0.5921200683184429,2804.497845888138,190145,0.7253456115722656,3940480,256
