pipeline,total_frames_read,sampled_frames,classifier_runs,yolo_runs,yolo_calls_avoided,yolo_avoidance_percent,total_classifier_time_sec,total_yolo_time_sec,total_wall_time_sec,peak_gpu_memory_mb,cpu_ram_mb,estimated_total_gflops,estimated_gflops_per_sampled_frame
YOLO_only,366,7,0,7,0,0.0,0.0,1.5446009635925293,7.368738412857056,332.095703125,729.13671875,56.699999999999996,8.1
YOLO_only,366,7,0,7,0,0.0,0.0,1.6199898719787598,7.707693576812744,332.095703125,739.3046875,56.699999999999996,8.1
YOLO_only,630,11,0,11,0,0.0,0.0,1.7713589668273926,6.064464330673218,332.095703125,729.9296875,89.1,8.1
YOLO_only,988,17,0,17,0,0.0,0.0,1.9766771793365479,8.133349180221558,332.095703125,725.82421875,137.7,8.1
YOLO_only,261,6,0,6,0,0.0,0.0,1.2348637580871582,3.5800821781158447,332.095703125,724.5390625,48.599999999999994,8.1
YOLO_only,261,6,0,6,0,0.0,0.0,1.0638189315795898,3.1450414657592773,158.2119140625,699.81640625,48.599999999999994,8.1
YOLO_only,261,6,0,6,0,0.0,0.0,1.2153899669647217,3.390782117843628,332.095703125,704.7265625,48.599999999999994,8.1
YOLO_only,988,17,0,17,0,0.0,0.0,2.1503517627716064,8.937246799468994,158.2119140625,719.96484375,137.7,8.1
YOLO_only,630,11,0,11,0,0.0,0.0,1.4854159355163574,6.066299915313721,158.2119140625,718.18359375,89.1,8.1
YOLO_only,366,7,0,7,0,0.0,0.0,1.8980720043182373,8.973910808563232,158.2119140625,730.70703125,56.699999999999996,8.1
YOLO_only,750,15,0,15,0,0.0,0.0,5.630205869674683,45.93915367126465,332.095703125,746.27734375,430.5,28.7
YOLO_only,750,15,0,15,0,0.0,0.0,5.925492286682129,55.78703999519348,158.2119140625,743.74609375,122.99999999999999,8.2
YOLO_only,630,11,0,11,0,0.0,0.0,1.6070735454559326,6.997513294219971,158.2119140625,719.73046875,90.19999999999999,8.2
YOLO_only,630,11,0,11,0,0.0,0.0,1.5710272789001465,6.877653360366821,332.095703125,711.3203125,315.7,28.7
YOLO_only,630,11,0,11,0,0.0,0.0,1.4766671657562256,6.319729804992676,332.095703125,704.109375,315.7,28.7
YOLO_only,630,11,0,11,0,0.0,0.0,1.5377027988433838,6.261863470077515,158.2119140625,719.03515625,90.19999999999999,8.2
YOLO_only,630,11,0,11,0,0.0,0.0,1.5737276077270508,6.592389822006226,332.095703125,710.90625,315.7,28.7
YOLO_only,1276,11,0,11,0,0.0,0.0,2.0867202281951904,23.83790922164917,332.095703125,711.1796875,315.7,28.7
YOLO_only,366,7,0,7,0,0.0,0.0,1.564145803451538,8.159820795059204,158.2119140625,734.2890625,57.39999999999999,8.2
YOLO_only,366,7,0,7,0,0.0,0.0,1.600761890411377,8.361635446548462,332.095703125,734.6875,200.9,28.7
YOLO_only,273,5,0,5,0,0.0,0.0,1.268747091293335,4.283010959625244,332.095703125,729.58203125,143.5,28.7
YOLO_only,273,5,0,5,0,0.0,0.0,1.0226309299468994,3.7441246509552,158.2119140625,731.1640625,41.0,8.2
YOLO_only,630,11,0,11,0,0.0,0.0,1.3732538223266602,4.321990013122559,332.095703125,721.5546875,315.7,28.7
YOLO_only,366,7,0,7,0,0.0,0.0,1.6338810920715332,7.789809226989746,332.095703125,728.5703125,200.9,28.7
YOLO_only,366,7,0,7,0,0.0,0.0,1.6298866271972656,8.861018896102905,158.2119140625,727.1015625,57.39999999999999,8.2
YOLO_only,750,15,0,15,0,0.0,0.0,6.2403929233551025,52.62527084350586,158.2119140625,761.78515625,122.99999999999999,8.2
YOLO_only,750,15,0,15,0,0.0,0.0,6.7386534214019775,51.651302337646484,332.095703125,773.125,430.5,28.7
YOLO_only,273,5,0,5,0,0.0,0.0,0.905205488204956,3.188988447189331,332.095703125,729.97265625,143.5,28.7
YOLO_only,273,5,0,5,0,0.0,0.0,0.9000654220581055,3.32511568069458,158.2119140625,725.859375,41.0,8.2
