pipeline,total_frames_read,sampled_frames,classifier_runs,yolo_runs,yolo_calls_avoided,yolo_avoidance_percent,total_classifier_time_sec,total_yolo_time_sec,total_wall_time_sec,peak_gpu_memory_mb,cpu_ram_mb,estimated_total_gflops,estimated_gflops_per_sampled_frame
ResNet18_to_YOLO,366,7,7,5,2,28.57142857142857,0.37767815589904785,0.976780891418457,6.437291622161865,410.16748046875,740.26171875,53.1,7.585714285714286
ResNet18_to_YOLO,630,11,11,6,5,45.45454545454545,0.40491318702697754,0.8966290950775146,6.223170280456543,410.16748046875,737.51953125,68.39999999999999,6.218181818181818
ResNet18_to_YOLO,988,17,17,16,1,5.88235294117647,0.4500901699066162,1.5159220695495605,8.231345653533936,410.16748046875,735.09375,160.2,9.423529411764704
ResNet18_to_YOLO,261,6,6,6,0,0.0,0.4272639751434326,0.8718409538269043,3.5560669898986816,410.16748046875,733.09765625,59.39999999999999,9.899999999999999
ResNet18_to_YOLO,988,17,17,16,1,5.88235294117647,0.42893433570861816,1.370929479598999,9.98808240890503,235.53369140625,728.8125,160.2,9.423529411764704
ResNet18_to_YOLO,630,11,11,6,5,45.45454545454545,0.337338924407959,0.7339909076690674,4.990296125411987,235.53369140625,730.1171875,68.39999999999999,6.218181818181818
ResNet18_to_YOLO,366,7,7,5,2,28.57142857142857,0.41006898880004883,0.9413871765136719,7.4198431968688965,235.53369140625,735.984375,53.1,7.585714285714286
ResNet18_to_YOLO,261,6,6,6,0,0.0,0.4136488437652588,0.7569315433502197,3.7191872596740723,235.53369140625,728.27734375,59.39999999999999,9.899999999999999
ResNet18_to_YOLO,261,6,6,6,0,0.0,0.448162317276001,0.8751270771026611,4.07500147819519,235.53369140625,732.453125,59.39999999999999,9.899999999999999
ResNet18_to_YOLO,750,15,15,6,9,60.0,0.4796304702758789,2.654642343521118,52.64423441886902,235.53369140625,775.18359375,103.30499999999999,6.887
ResNet18_to_YOLO,750,15,15,4,11,73.33333333333333,0.44534802436828613,1.9624395370483398,57.57148838043213,235.53369140625,767.53515625,87.10499999999999,5.8069999999999995
ResNet18_to_YOLO,750,15,15,4,11,73.33333333333333,0.41687822341918945,1.9284915924072266,51.509867429733276,410.16748046875,772.98828125,169.505,11.300333333333333
ResNet18_to_YOLO,750,15,15,4,11,73.33333333333333,0.4266221523284912,1.883862018585205,45.624093532562256,235.53369140625,759.8671875,87.505,5.833666666666667
ResNet18_to_YOLO,630,11,11,6,5,45.45454545454545,0.4675881862640381,0.8805603981018066,6.89635157585144,235.53369140625,735.1328125,89.317,8.119727272727273
ResNet18_to_YOLO,630,11,11,6,5,45.45454545454545,0.42168664932250977,0.8582029342651367,6.5934998989105225,410.16748046875,722.109375,212.31699999999998,19.30154545454545
ResNet18_to_YOLO,366,7,7,1,6,85.71428571428571,0.403684139251709,0.5295183658599854,6.86143684387207,410.16748046875,736.05859375,54.229,7.747
ResNet18_to_YOLO,366,7,7,1,6,85.71428571428571,0.4147467613220215,0.49702000617980957,7.861207723617554,235.53369140625,722.44921875,33.729,4.818428571428571
ResNet18_to_YOLO,366,7,7,1,6,85.71428571428571,0.422351598739624,0.5347757339477539,7.161128282546997,235.53369140625,742.01171875,33.729,4.818428571428571
ResNet18_to_YOLO,273,5,5,5,0,0.0,0.30884385108947754,0.8536951541900635,4.2343080043792725,410.16748046875,739.703125,161.735,32.347
ResNet18_to_YOLO,273,5,5,5,0,0.0,0.3743751049041748,1.0678141117095947,5.3496620655059814,235.53369140625,734.37109375,59.235,11.847
ResNet18_to_YOLO,273,5,5,5,0,0.0,0.31908655166625977,0.8120636940002441,4.300660133361816,235.53369140625,742.02734375,59.235,11.847
ResNet18_to_YOLO,630,11,11,6,5,45.45454545454545,0.4206972122192383,0.7805697917938232,6.493490934371948,235.53369140625,728.2890625,89.317,8.119727272727273
ResNet18_to_YOLO,630,11,11,6,5,45.45454545454545,0.4577140808105469,0.8856794834136963,5.846259117126465,410.16748046875,730.45703125,212.31699999999998,19.30154545454545
ResNet18_to_YOLO,366,7,7,1,6,85.71428571428571,0.419766902923584,0.7337954044342041,8.604390859603882,410.16748046875,736.48828125,54.229,7.747
ResNet18_to_YOLO,366,7,7,1,6,85.71428571428571,0.41574716567993164,0.8226287364959717,8.12807297706604,235.53369140625,721.1484375,33.729,4.818428571428571
ResNet18_to_YOLO,750,15,15,4,11,73.33333333333333,1.0122020244598389,1.6760828495025635,30.8092999458313,235.53369140625,759.43359375,87.505,5.833666666666667
ResNet18_to_YOLO,750,15,15,4,11,73.33333333333333,0.29033780097961426,1.4203860759735107,28.406778573989868,410.16748046875,762.90234375,169.505,11.300333333333333
ResNet18_to_YOLO,273,5,5,5,0,0.0,0.245253324508667,0.7080118656158447,3.4949088096618652,410.16748046875,740.47265625,161.735,32.347
ResNet18_to_YOLO,273,5,5,5,0,0.0,0.2688472270965576,0.7067923545837402,3.8255221843719482,235.53369140625,735.62890625,59.235,11.847
