epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6625,1.93455,3.18982,1.96484,0.2816,0.32466,0.26076,0.10705,2.07961,3.28594,2.25141,0.000364887,0.000364887,0.000364887
2,56.2193,1.90973,2.40065,1.91823,0.22772,0.37569,0.22784,0.09889,2.14468,3.39292,2.40581,0.000727942,0.000727942,0.000727942
3,82.8542,1.92982,2.41362,1.95655,0.10621,0.32189,0.07886,0.03075,2.48682,11.1128,2.82551,0.00108366,0.00108366,0.00108366
4,107.692,1.9147,2.2992,1.94365,0.47808,0.29073,0.27403,0.11056,2.18666,3.00917,2.32016,0.001078,0.001078,0.001078
5,135.375,1.90633,2.29368,1.90608,0.4397,0.24487,0.25107,0.11824,2.24655,3.1348,2.3107,0.001067,0.001067,0.001067
6,160.289,1.88287,2.21888,1.89955,0.33224,0.33739,0.26263,0.12636,2.09701,2.56747,2.22606,0.00105601,0.00105601,0.00105601
7,185.2,1.85183,2.20226,1.88957,0.45223,0.44424,0.39416,0.18273,2.05517,2.34084,2.16236,0.00104501,0.00104501,0.00104501
8,210.201,1.80757,2.12381,1.88053,0.52491,0.38916,0.39526,0.19101,1.9057,2.38531,2.10297,0.00103401,0.00103401,0.00103401
9,235.16,1.80264,2.06744,1.85289,0.5582,0.47004,0.49168,0.2324,1.91699,2.16169,2.05622,0.00102301,0.00102301,0.00102301
10,260.267,1.79282,2.06406,1.83477,0.6169,0.37334,0.38557,0.16446,2.01522,2.3161,2.10719,0.00101201,0.00101201,0.00101201
11,284.901,1.75397,1.99236,1.81781,0.50416,0.43026,0.41149,0.1919,1.91296,2.25025,2.00869,0.00100101,0.00100101,0.00100101
12,309.505,1.75683,1.96788,1.79602,0.6816,0.38255,0.43159,0.20653,1.89089,2.17507,1.9933,0.000990012,0.000990012,0.000990012
13,334.016,1.73359,1.9131,1.77868,0.4921,0.46231,0.44435,0.21954,1.86739,2.21173,1.97054,0.000979013,0.000979013,0.000979013
14,358.566,1.72254,1.86235,1.78478,0.53171,0.45447,0.44482,0.2319,1.83513,2.00707,1.93217,0.000968014,0.000968014,0.000968014
15,383.045,1.7036,1.871,1.76434,0.52677,0.46701,0.48972,0.23597,1.88775,1.94878,1.94631,0.000957015,0.000957015,0.000957015
16,407.846,1.68047,1.77959,1.72831,0.66056,0.41497,0.4638,0.21856,1.99617,2.0962,2.01115,0.000946016,0.000946016,0.000946016
17,432.922,1.66771,1.79078,1.71741,0.64082,0.4857,0.50004,0.25172,1.93968,1.88998,2.02263,0.000935018,0.000935018,0.000935018
18,458.39,1.6929,1.80381,1.7601,0.5685,0.51156,0.49312,0.25433,1.78114,1.96981,1.93018,0.000924019,0.000924019,0.000924019
19,483.428,1.6417,1.76973,1.733,0.6153,0.46848,0.50274,0.24681,1.89643,2.03638,1.97919,0.00091302,0.00091302,0.00091302
20,508.218,1.63064,1.75441,1.71643,0.64553,0.47201,0.51054,0.25539,1.78571,1.93536,1.92999,0.000902021,0.000902021,0.000902021
21,533.155,1.6318,1.71692,1.71363,0.63473,0.50276,0.54171,0.27113,1.85916,1.97761,2.02184,0.000891022,0.000891022,0.000891022
22,558.562,1.63459,1.67655,1.69665,0.61224,0.49743,0.53711,0.26635,1.8632,1.80658,1.92352,0.000880023,0.000880023,0.000880023
23,583.996,1.61768,1.66936,1.70977,0.68964,0.50187,0.5796,0.2817,1.8679,1.81484,1.97916,0.000869024,0.000869024,0.000869024
24,609.215,1.60715,1.61985,1.68538,0.57669,0.59517,0.58081,0.27033,1.83821,1.75289,1.93318,0.000858025,0.000858025,0.000858025
25,634.502,1.60485,1.59361,1.6792,0.63734,0.51012,0.53063,0.26372,1.85356,1.79309,1.92885,0.000847026,0.000847026,0.000847026
26,659.956,1.58879,1.56814,1.65692,0.72739,0.56048,0.60001,0.30772,1.8552,1.67369,1.89149,0.000836027,0.000836027,0.000836027
27,685.081,1.5768,1.54324,1.63656,0.70607,0.53773,0.6057,0.31212,1.83208,1.58522,1.906,0.000825029,0.000825029,0.000825029
28,710.535,1.57946,1.55718,1.6641,0.73047,0.5257,0.60257,0.30088,1.82328,1.60804,1.91402,0.00081403,0.00081403,0.00081403
29,735.634,1.5699,1.55087,1.64892,0.66766,0.55117,0.56409,0.27888,1.83052,1.7458,1.90268,0.000803031,0.000803031,0.000803031
30,760.569,1.57595,1.5483,1.66111,0.7153,0.52006,0.5889,0.30267,1.81479,1.64265,1.92496,0.000792032,0.000792032,0.000792032
31,785.423,1.55901,1.50088,1.64054,0.65628,0.56452,0.61533,0.31497,1.77765,1.62735,1.87527,0.000781033,0.000781033,0.000781033
32,810.515,1.53438,1.48115,1.62251,0.57698,0.57777,0.56263,0.26349,1.8678,1.59781,1.95262,0.000770034,0.000770034,0.000770034
33,835.223,1.53355,1.467,1.62516,0.65904,0.58,0.60836,0.29835,1.80352,1.56967,1.87847,0.000759035,0.000759035,0.000759035
34,860.576,1.53451,1.43215,1.6045,0.70417,0.58894,0.62952,0.31175,1.77157,1.53155,1.85781,0.000748036,0.000748036,0.000748036
35,885.403,1.51328,1.45107,1.60849,0.69403,0.54732,0.59858,0.28775,1.83144,1.57267,1.9215,0.000737037,0.000737037,0.000737037
36,910.095,1.52947,1.42108,1.60936,0.64019,0.58972,0.61033,0.30055,1.82954,1.55484,1.91419,0.000726038,0.000726038,0.000726038
37,936.004,1.50081,1.39727,1.59725,0.63901,0.58986,0.61536,0.31306,1.82265,1.51582,1.92182,0.00071504,0.00071504,0.00071504
38,961.41,1.4701,1.37771,1.58109,0.71807,0.55368,0.61872,0.30254,1.82868,1.51842,1.93459,0.000704041,0.000704041,0.000704041
39,986.258,1.49429,1.39347,1.60148,0.61746,0.61736,0.60581,0.29872,1.7985,1.47456,1.88494,0.000693042,0.000693042,0.000693042
40,1010.94,1.46878,1.35712,1.58362,0.76317,0.56179,0.65578,0.32657,1.8149,1.42191,1.89917,0.000682043,0.000682043,0.000682043
41,1036.54,1.47519,1.33334,1.56712,0.70732,0.60507,0.64514,0.33727,1.73097,1.4425,1.89089,0.000671044,0.000671044,0.000671044
42,1062.6,1.44895,1.32254,1.57195,0.66351,0.62715,0.64631,0.33164,1.73973,1.42834,1.84416,0.000660045,0.000660045,0.000660045
43,1088.02,1.46341,1.32828,1.56927,0.62423,0.56598,0.57724,0.28464,1.8009,1.51507,1.92627,0.000649046,0.000649046,0.000649046
44,1113.77,1.42049,1.25489,1.53195,0.69021,0.64339,0.66076,0.32557,1.79983,1.38578,1.92529,0.000638047,0.000638047,0.000638047
45,1139.01,1.44931,1.31789,1.56501,0.6218,0.59736,0.61566,0.29322,1.8538,1.45198,1.9559,0.000627048,0.000627048,0.000627048
46,1164.32,1.46265,1.28389,1.55111,0.74177,0.57416,0.64217,0.31047,1.82272,1.45238,1.93255,0.000616049,0.000616049,0.000616049
47,1189.72,1.42911,1.2893,1.5586,0.70614,0.6105,0.66566,0.3306,1.75203,1.44584,1.87992,0.000605051,0.000605051,0.000605051
48,1215.37,1.43765,1.27638,1.5532,0.71731,0.61839,0.65607,0.3156,1.80572,1.42591,1.92672,0.000594052,0.000594052,0.000594052
49,1240.62,1.39787,1.22982,1.51331,0.7189,0.61902,0.66435,0.32909,1.79357,1.39167,1.9249,0.000583053,0.000583053,0.000583053
50,1265.51,1.3966,1.21223,1.51725,0.71416,0.61101,0.65577,0.32392,1.78213,1.41391,1.90478,0.000572054,0.000572054,0.000572054
51,1290.17,1.3979,1.21083,1.52907,0.72245,0.64322,0.67761,0.33222,1.81338,1.36956,1.9173,0.000561055,0.000561055,0.000561055
52,1315.14,1.38477,1.23571,1.52047,0.6694,0.64968,0.65875,0.32652,1.80824,1.38244,1.9328,0.000550056,0.000550056,0.000550056
53,1339.56,1.40353,1.19183,1.51839,0.66493,0.64442,0.67089,0.32888,1.85611,1.38443,1.97651,0.000539057,0.000539057,0.000539057
54,1364.18,1.39156,1.16907,1.51359,0.69462,0.60011,0.6264,0.3071,1.82276,1.36809,1.9452,0.000528058,0.000528058,0.000528058
55,1389.61,1.3446,1.16937,1.49376,0.70202,0.65449,0.67308,0.3233,1.85427,1.32386,1.97766,0.000517059,0.000517059,0.000517059
56,1414.62,1.36308,1.1828,1.49944,0.69068,0.61592,0.65232,0.31237,1.83288,1.37974,1.95916,0.00050606,0.00050606,0.00050606
